ID_Localisation,Cas_Total,Vaccinations_Total,Population,Couverture_Vaccinale_Max,Taux_Croissance_Moyen,Cluster
ABW,44224,114375,106459,79,inf,1
AFG,235214,78275,41128772,44,inf,2
AGO,107481,0,35588996,27,inf,3
AIA,3904,1421,15877,65,inf,2
ALB,335047,1417691,2842318,45,inf,2
AND,48015,4802,79843,67,inf,2
ARE,1067030,20138062,9441138,103,inf,1
ARG,10101218,116958026,45510324,76,inf,1
ARM,452273,0,2780472,37,inf,2
ASM,8359,0,44295,0,inf,3
ATG,9106,8412,93772,66,inf,2
AUS,97413489,562145058,26177410,82,inf,1
AUT,6082444,0,8939617,74,inf,1
AZE,835757,10719068,10358078,46,inf,2
BDI,54674,460,12889583,0,inf,3
BEL,4872829,31458352,11655923,78,inf,1
BEN,28036,0,13352864,20,inf,3
BES,11922,0,27052,61,inf,2
BFA,22139,0,22673764,23,inf,3
BGD,2051348,141679779,171186368,83,inf,1
BGR,1329988,4521361,6781955,30,inf,2
BHR,696614,2954499,1472237,83,inf,1
BHS,39127,9258,409989,40,inf,2
BIH,403666,93862,3233530,26,inf,3
BLM,5507,0,10994,0,inf,3
BLR,994037,0,9534956,67,inf,2
BLZ,71416,119978,405285,54,inf,2
BMU,18860,0,64207,74,inf,1
BOL,1212147,14565586,12224114,50,inf,2
BRA,1012869020,-2147483648,215313504,81,inf,1
BRB,108582,293273,281646,55,inf,2
BRN,347723,259735,449002,99,inf,1
BTN,62697,862033,782457,86,inf,1
BWA,330696,10435,2630300,63,inf,2
CAF,15441,12887,5579148,44,inf,2
CAN,63012060,1349110534,38454328,82,inf,1
CHE,4457868,16903582,8740471,0,inf,3
CHL,5401126,62671925,19603736,90,inf,1
CHN,-2147483648,-2147483648,1425887360,89,inf,1
CIV,88434,2278710,28160548,43,inf,2
CMR,125246,10290,27914542,11,inf,3
COD,101009,42303,99010216,14,inf,3
COG,25227,1486,5970430,10,inf,3
COK,7345,0,17032,86,inf,1
COL,6391876,50290307,51874028,71,inf,1
COM,9109,0,836783,47,inf,2
CPV,64474,7462,593162,52,inf,2
CRI,1234701,0,5180836,84,inf,1
CUB,1113662,38404382,11212198,89,inf,1
CUW,45883,191553,191173,52,inf,2
CYM,31472,15339,68722,88,inf,1
CYP,696410,428204,896007,72,inf,1
CZE,4761919,19043211,10493990,65,inf,2
DEU,38437756,192197041,83369840,76,inf,1
DJI,15690,12179,1120851,35,inf,2
DMA,16047,6417,72758,42,inf,2
DNK,3435679,0,5882259,80,inf,1
DOM,661103,14029639,11228821,54,inf,2
DZA,272139,170786,44903228,14,inf,3
ECU,1079039,36284797,18001002,79,inf,1
EGY,516023,2157499,110990096,38,inf,2
ERI,10189,0,3684041,0,inf,3
ESH,0,0,576005,0,,3
ESP,13980340,62965910,47558632,85,inf,1
EST,610471,2170815,1326064,65,inf,2
ETH,501193,23047615,123379928,35,inf,2
FIN,1499712,1254404,5540745,78,inf,1
FJI,69054,28295,929769,68,inf,2
FLK,1923,0,3801,46,inf,2
FRA,38997490,154492650,67813000,78,inf,1
FRO,34658,34813,53117,76,inf,1
FSM,31852,0,114178,0,inf,3
GAB,49051,1486,2388997,10,inf,3
GBR,121610777,741712265,67508936,75,inf,1
GEO,1863615,1455821,3744385,34,inf,2
GGY,35326,15931,63329,83,inf,1
GHA,172062,180950,33475870,32,inf,2
GIB,20550,92234,32677,126,inf,1
GIN,38572,1586407,13859349,42,inf,2
GLP,203235,0,395762,0,inf,3
GMB,12627,429,2705995,19,inf,3
GNB,9614,1658,2105580,26,inf,3
GNQ,17228,639,1674916,12,inf,3
GRC,5673681,21525972,10384972,73,inf,1
GRD,19693,1159,125459,31,inf,2
GRL,11971,43336,56494,68,inf,2
GTM,1250398,13495417,17843914,39,inf,2
GUF,98041,0,304568,0,inf,3
GUM,52287,0,171783,0,inf,3
GUY,74443,144957,808727,47,inf,2
HKG,0,20839671,7488863,90,,1
HND,472896,229026,10432858,56,inf,2
HRV,1317144,3815368,4030361,55,inf,2
HTI,34456,41453,11585003,3,inf,3
HUN,2230800,8276404,9967304,62,inf,2
IDN,6829399,330544770,275501344,63,inf,2
IMN,38008,93324,84534,79,inf,1
IND,1653417564,-2147483648,1417173120,67,inf,2
IRL,1745088,8578879,5023108,80,inf,1
IRN,7627863,20588423,88550568,66,inf,2
IRQ,2465545,26828,44496124,17,inf,3
ISL,210374,258851,372903,77,inf,1
ISR,4841558,18609926,9449000,65,inf,2
ITA,26781078,144601066,59037472,81,inf,1
JAM,157181,566027,2827382,26,inf,3
JEY,66391,0,110796,73,inf,1
JOR,1746997,4276815,11285875,40,inf,2
JPN,33803572,383303948,123951696,83,inf,1
KAZ,1504370,18655980,19397998,54,inf,2
KEN,344106,11113785,54027484,20,inf,3
KGZ,88953,2917641,6630621,21,inf,3
KHM,139319,36482941,16767851,87,inf,1
KIR,5085,0,131237,62,inf,2
KNA,6607,6553,47681,56,inf,2
KOR,34571873,129580486,51815808,85,inf,1
KWT,667290,37214,4268886,78,inf,1
LAO,219060,1981593,7529477,69,inf,2
LBN,1239904,5134981,5489744,43,inf,2
LBR,8090,10089,5302690,70,inf,1
LBY,507269,200655,6812344,18,inf,3
LCA,30282,26359,179872,30,inf,2
LIE,21588,59493,39355,0,inf,3
LKA,672798,33589253,21832150,67,inf,2
LSO,36138,0,2305826,40,inf,2
LTU,1369355,4587683,2750058,68,inf,2
LUX,393542,1286886,647601,71,inf,1
LVA,977765,2895704,1850654,70,inf,1
MAC,0,918831,695180,92,,1
MAF,12324,0,31816,0,inf,3
MAR,1279115,27409359,37457976,62,inf,2
