ID_Localisation,Cas_Total,Vaccinations_Total,Dernier_Type_Mesure,Population,Vaccinated,Couverture_Vaccinale_Max,Taux_Croissance_Moyen,Cluster
ABW,44224,114375,0.0,106459,84368,79,inf,1
AFG,235214,78275,0.0,41128772,18370386,44,inf,2
AGO,107481,0,0.0,35588996,9609080,27,inf,3
AIA,3904,1421,,15877,10380,65,inf,2
ALB,335047,1417691,0.0,2842318,1279333,45,inf,2
AND,48015,4802,0.0,79843,53501,67,inf,2
ARE,1067030,20138062,0.0,9441138,9792266,103,inf,1
ARG,10101218,116958026,0.0,45510324,34900613,76,inf,1
ARM,452273,0,,2780472,1030758,37,inf,2
ASM,8359,0,,44295,0,0,inf,3
ATG,9106,8412,,93772,62384,66,inf,2
AUS,97413489,562145058,0.0,26177410,21647523,82,inf,1
AUT,6082444,0,2.0,8939617,6683263,74,inf,1
AZE,835757,10719068,0.0,10358078,4862494,46,inf,2
BDI,54674,460,0.0,12889583,36321,0,inf,3
BEL,4872829,31458352,0.0,11655923,9170945,78,inf,1
BEN,28036,0,0.0,13352864,2742837,20,inf,3
BES,11922,0,,27052,16736,61,inf,2
BFA,22139,0,0.0,22673764,5232347,23,inf,3
BGD,2051348,141679779,0.0,171186368,142201684,83,inf,1
BGR,1329988,4521361,0.0,6781955,2078006,30,inf,2
BHR,696614,2954499,0.0,1472237,1226796,83,inf,1
BHS,39127,9258,1.0,409989,166972,40,inf,2
BIH,403666,93862,1.0,3233530,846080,26,inf,3
BLM,5507,0,,10994,0,0,inf,3
BLR,994037,0,0.0,9534956,6414996,67,inf,2
BLZ,71416,119978,0.0,405285,221402,54,inf,2
BMU,18860,0,1.0,64207,47657,74,inf,1
BOL,1212147,14565586,1.0,12224114,6160585,50,inf,2
BRA,1012869020,-2147483648,0.0,215313504,176164186,81,inf,1
BRB,108582,293273,0.0,281646,155047,55,inf,2
BRN,347723,259735,0.0,449002,446714,99,inf,1
BTN,62697,862033,0.0,782457,677669,86,inf,1
BWA,330696,10435,0.0,2630300,1663490,63,inf,2
CAF,15441,12887,0.0,5579148,2484985,44,inf,2
CAN,63012060,1349110534,0.0,38454328,31758251,82,inf,1
CHE,4457868,16903582,0.0,8740471,0,0,inf,3
CHL,5401126,62671925,0.0,19603736,17700117,90,inf,1
CHN,-2147483648,-2147483648,2.0,1425887360,1276760000,89,inf,1
CIV,88434,2278710,0.0,28160548,12164304,43,inf,2
CMR,125246,10290,0.0,27914542,3197286,11,inf,3
COD,101009,42303,0.0,99010216,14399520,14,inf,3
COG,25227,1486,0.0,5970430,654119,10,inf,3
COK,7345,0,,17032,14728,86,inf,1
COL,6391876,50290307,1.0,51874028,37204128,71,inf,1
COM,9109,0,,836783,397080,47,inf,2
CPV,64474,7462,0.0,593162,308720,52,inf,2
CRI,1234701,0,0.0,5180836,4369784,84,inf,1
CUB,1113662,38404382,0.0,11212198,10053658,89,inf,1
CUW,45883,191553,,191173,100885,52,inf,2
CYM,31472,15339,,68722,60696,88,inf,1
CYP,696410,428204,0.0,896007,646142,72,inf,1
CZE,4761919,19043211,0.0,10493990,6895763,65,inf,2
DEU,38437756,192197041,0.0,83369840,63563414,76,inf,1
DJI,15690,12179,0.0,1120851,401208,35,inf,2
DMA,16047,6417,1.0,72758,30659,42,inf,2
DNK,3435679,0,0.0,5882259,4712002,80,inf,1
DOM,661103,14029639,0.0,11228821,6130377,54,inf,2
